rok,miesiac,liczba,imie,plec
338,2006,11,23,Zuzanna,0
339,2006,10,22,Zuzanna,0
340,2006,9,29,Zuzanna,0
341,2006,8,25,Zuzanna,0
342,2006,7,23,Zuzanna,0
343,2006,6,15,Zuzanna,0
344,2006,5,25,Zuzanna,0
345,2006,4,28,Zuzanna,0
346,2006,3,19,Zuzanna,0
347,2006,2,28,Zuzanna,0
348,2006,1,19,Zuzanna,0
349,2005,12,27,Zuzanna,0
350,2005,11,18,Zuzanna,0
351,2005,10,20,Zuzanna,0
352,2005,9,27,Zuzanna,0
353,2005,8,23,Zuzanna,0
354,2005,7,24,Zuzanna,0
355,2005,6,19,Zuzanna,0
356,2005,5,34,Zuzanna,0
357,2005,4,28,Zuzanna,0
358,2005,3,27,Zuzanna,0
359,2005,2,23,Zuzanna,0
360,2005,1,28,Zuzanna,0
361,2004,12,11,Zuzanna,0
362,2004,11,21,Zuzanna,0
363,2004,10,11,Zuzanna,0
364,2004,9,24,Zuzanna,0
365,2004,8,16,Zuzanna,0
366,2004,7,7,Zuzanna,0
367,2014,8,8,Aleksandra,0
368,2014,7,20,Aleksandra,0
369,2014,6,12,Aleksandra,0
370,2014,5,8,Aleksandra,0
371,2014,4,12,Aleksandra,0
372,2014,3,10,Aleksandra,0
373,2014,2,13,Aleksandra,0
374,2014,1,8,Aleksandra,0
375,2013,12,8,Aleksandra,0
376,2013,11,15,Aleksandra,0
377,2013,10,12,Aleksandra,0
378,2013,9,18,Aleksandra,0
379,2013,8,12,Aleksandra,0
380,2013,7,10,Aleksandra,0
381,2013,6,9,Aleksandra,0
382,2013,5,15,Aleksandra,0
383,2013,4,13,Aleksandra,0
384,2013,3,13,Aleksandra,0
385,2013,2,15,Aleksandra,0
386,2013,1,16,Aleksandra,0
387,2012,12,10,Aleksandra,0
388,2012,11,21,Aleksandra,0
389,2012,10,23,Aleksandra,0
390,2012,9,24,Aleksandra,0
391,2012,8,12,Aleksandra,0
392,2012,7,13,Aleksandra,0
393,2012,6,16,Aleksandra,0
394,2012,5,16,Aleksandra,0
395,2012,4,9,Aleksandra,0
396,2012,3,2,Aleksandra,0
397,2012,2,11,Aleksandra,0
398,2012,1,16,Aleksandra,0
399,2011,12,12,Aleksandra,0
400,2011,11,21,Aleksandra,0
401,2011,10,9,Aleksandra,0
402,2011,9,8,Aleksandra,0
403,2011,8,9,Aleksandra,0
404,2011,7,15,Aleksandra,0
405,2011,6,19,Aleksandra,0
406,2011,5,14,Aleksandra,0
407,2011,4,12,Aleksandra,0
408,2011,3,18,Aleksandra,0
409,2011,2,19,Aleksandra,0
410,2011,1,15,Aleksandra,0
411,2010,12,28,Aleksandra,0
412,2010,11,16,Aleksandra,0
413,2010,10,21,Aleksandra,0
414,2010,9,17,Aleksandra,0
415,2010,8,14,Aleksandra,0
416,2010,7,7,Aleksandra,0
417,2010,6,12,Aleksandra,0
418,2010,5,9,Aleksandra,0
419,2010,4,15,Aleksandra,0
420,2010,3,13,Aleksandra,0
421,2010,2,16,Aleksandra,0
422,2010,1,11,Aleksandra,0
423,2009,12,7,Aleksandra,0
424,2009,11,11,Aleksandra,0
425,2009,10,11,Aleksandra,0
426,2009,9,24,Aleksandra,0
427,2009,8,8,Aleksandra,0
428,2009,7,17,Aleksandra,0
429,2009,6,5,Aleksandra,0
430,2009,5,11,Aleksandra,0
431,2009,4,20,Aleksandra,0
432,2009,3,24,Aleksandra,0
433,2009,2,7,Aleksandra,0
434,2009,1,6,Aleksandra,0
435,2008,12,15,Aleksandra,0
436,2008,11,16,Aleksandra,0
437,2008,10,13,Aleksandra,0
438,2008,9,23,Aleksandra,0
439,2008,8,16,Aleksandra,0
440,2008,7,24,Aleksandra,0
441,2008,6,28,Aleksandra,0
442,2008,5,11,Aleksandra,0
443,2008,4,23,Aleksandra,0
444,2008,3,16,Aleksandra,0
445,2008,2,19,Aleksandra,0
446,2008,1,29,Aleksandra,0
447,2007,12,20,Aleksandra,0
448,2007,11,16,Aleksandra,0
449,2007,10,18,Aleksandra,0
450,2007,9,21,Aleksandra,0
451,2007,8,29,Aleksandra,0
452,2007,7,22,Aleksandra,0
453,2007,6,23,Aleksandra,0
454,2007,5,20,Aleksandra,0
455,2007,4,16,Aleksandra,0
456,2007,3,25,Aleksandra,0
457,2007,2,25,Aleksandra,0
458,2007,1,24,Aleksandra,0
459,2006,12,24,Aleksandra,0
460,2006,11,22,Aleksandra,0
461,2006,10,33,Aleksandra,0
462,2006,9,30,Aleksandra,0
463,2006,8,22,Aleksandra,0
464,2006,7,26,Aleksandra,0
465,2006,6,27,Aleksandra,0
466,2006,5,24,Aleksandra,0
467,2006,4,25,Aleksandra,0
468,2006,3,26,Aleksandra,0
469,2006,2,18,Aleksandra,0
470,2006,1,31,Aleksandra,0
471,2005,12,23,Aleksandra,0
472,2005,11,32,Aleksandra,0
473,2005,10,27,Aleksandra,0
474,2005,9,18,Aleksandra,0
475,2005,8,26,Aleksandra,0
476,2005,7,24,Aleksandra,0
477,2005,6,28,Aleksandra,0
478,2005,5,44,Aleksandra,0
479,2005,4,31,Aleksandra,0
480,2005,3,37,Aleksandra,0
481,2005,2,27,Aleksandra,0
482,2005,1,43,Aleksandra,0
483,2004,12,16,Aleksandra,0
484,2004,11,24,Aleksandra,0
485,2004,10,18,Aleksandra,0
486,2004,9,20,Aleksandra,0
487,2004,8,16,Aleksandra,0
488,2004,7,7,Aleksandra,0
489,2014,8,5,Natalia,0
490,2014,7,22,Natalia,0
491,2014,6,13,Natalia,0
492,2014,5,6,Natalia,0
493,2014,4,10,Natalia,0
494,2014,3,16,Natalia,0
495,2014,2,10,Natalia,0
496,2014,1,14,Natalia,0
497,2013,12,9,Natalia,0
498,2013,11,8,Natalia,0
499,2013,10,6,Natalia,0
500,2013,9,14,Natalia,0
501,2013,8,10,Natalia,0
502,2013,7,7,Natalia,0
503,2013,6,20,Natalia,0
504,2013,5,8,Natalia,0
505,2013,4,8,Natalia,0
506,2013,3,7,Natalia,0
507,2013,2,12,Natalia,0
508,2013,1,10,Natalia,0
509,2012,12,7,Natalia,0
510,2012,11,13,Natalia,0
511,2012,10,16,Natalia,0
512,2012,9,17,Natalia,0
513,2012,8,17,Natalia,0
