"Product_Name","GPU_Chip","Released","Bus","Memory","GPU_clock","Memory_clock","Shaders.TMUs.ROPs","Manufacturer","Classification"
"GeForce2 MX 400","NV11 B2","Mar 2001","AGP 4x","32 MB, SDR, 128 bit","200 MHz","166 MHz","2 / 0 / 4 / 2","NVIDIA","Desktop"
"GeForce2 MX 400 PCI","NV11 B2","Mar 2001","PCI","32 MB, DDR, 64 bit","200 MHz","166 MHz","2 / 0 / 4 / 2","NVIDIA","Desktop"
"GeForce3","NV20 A5","Feb 2001","AGP 4x","64 MB, SDR, 128 bit","200 MHz","230 MHz","4 / 1 / 8 / 4","NVIDIA","Desktop"
"GeForce2 PRO","NV15 A5","Dec 2000","AGP 4x","64 MB, DDR, 128 bit","200 MHz","200 MHz","4 / 0 / 8 / 4","NVIDIA","Desktop"
"GeForce2 Ultra","NV15 A4","Aug 2000","AGP 4x","64 MB, DDR, 128 bit","250 MHz","230 MHz","4 / 0 / 8 / 4","NVIDIA","Desktop"
"GeForce2 MX","NV11 A2","Jun 2000","AGP 4x","32 MB, SDR, 128 bit","175 MHz","166 MHz","2 / 0 / 4 / 2","NVIDIA","Desktop"
"GeForce2 MX DH Pro TV","NV11 A2","Jun 2000","AGP 4x","32 MB, SDR, 128 bit","175 MHz","166 MHz","2 / 0 / 4 / 2","NVIDIA","Desktop"
"GeForce2 MX DH Pro TV PCI","NV11 A2","Jun 2000","PCI","32 MB, SDR, 128 bit","175 MHz","166 MHz","2 / 0 / 4 / 2","NVIDIA","Desktop"
"GeForce2 MX PCI","NV11 A2","Jun 2000","PCI","32 MB, SDR, 32 bit","175 MHz","166 MHz","2 / 0 / 4 / 2","NVIDIA","Desktop"
"GeForce2 GTS","NV15 A5","Apr 2000","AGP 4x","32 MB, DDR, 128 bit","200 MHz","166 MHz","4 / 0 / 8 / 4","NVIDIA","Desktop"
"GeForce2 GTS PRO","NV15 A5","Apr 2000","AGP 4x","32 MB, DDR, 128 bit","200 MHz","200 MHz","4 / 0 / 8 / 4","NVIDIA","Desktop"
"Vanta LT","NV6 B5","Mar 2000","AGP 2x","8 MB, SDR, 64 bit","105 MHz","100 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"GeForce 256 DDR","NV10 A3","Feb 2000","AGP 4x","32 MB, DDR, 128 bit","120 MHz","150 MHz","4 / 0 / 4 / 4","NVIDIA","Desktop"
"Riva TNT2 M64","NV5 B6","Oct 1999","AGP 4x","16 MB, SDR, 64 bit","125 MHz","143 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"Riva TNT2 PRO","NV5 B6","Oct 1999","AGP 4x","32 MB, SDR, 128 bit","143 MHz","167 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"GeForce 256 SDR","NV10 A3","Oct 1999","AGP 4x","32 MB, SDR, 64 bit","120 MHz","143 MHz","4 / 0 / 4 / 4","NVIDIA","Desktop"
"Riva TNT2 M64 Vanta","NV6 C1","Mar 1999","AGP 4x","16 MB, SDR, 64 bit","100 MHz","133 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"Riva TNT2 M64 Vanta-16","NV6 B6","Mar 1999","AGP 4x","16 MB, SDR, 64 bit","100 MHz","133 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"Riva TNT2 Ultra","NV5","Mar 1999","AGP 4x","32 MB, SDR, 128 bit","150 MHz","183 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"Riva TNT","NV4","Mar 1998","AGP 2x","16 MB, SDR, 128 bit","90 MHz","110 MHz","2 / 0 / 2 / 2","NVIDIA","Desktop"
"Riva 128ZX","NV3","Feb 1998","AGP 2x","8 MB, SDR, 128 bit","100 MHz","100 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"Riva 128","NV3","Apr 1997","AGP 2x","4 MB, SDR, 128 bit","100 MHz","100 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"Riva 128 PCI","NV3","Apr 1997","PCI","4 MB, SDR, 128 bit","100 MHz","100 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"Edge 3D 2120XL","NV1","Sep 1995","PCI","1 MB, DRAM, 32 bit","60 MHz","60 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"Edge 3D 2200XL","NV1","Sep 1995","PCI","2 MB, DRAM, 64 bit","60 MHz","60 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"Edge 3D 3240XL","NV1","Sep 1995","PCI","2 MB, VRAM, 64 bit","60 MHz","60 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"Edge 3D 3400XL","NV1","Sep 1995","PCI","4 MB, VRAM, 64 bit","60 MHz","60 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"STG-2000X","NV1","Sep 1995","PCI","1 MB, EDO, 32 bit","12 MHz","75 MHz","1 / 0 / 1 / 1","NVIDIA","Desktop"
"GeForce GTX 460 SE v2","GF114","Unreleased","PCIe 2.0 x16","768 MB, GDDR5, 192 bit","650 MHz","850 MHz","288 / 48 / 24","NVIDIA","Desktop"
"GeForce GTX 470 PhysX Edition","GF100","Unreleased","PCIe 2.0 x16","1280 MB, GDDR5, 320 bit","608 MHz","837 MHz","448 / 56 / 40","NVIDIA","Desktop"
"GeForce GTX 480 Core 512","GF100","Unreleased","PCIe 2.0 x16","1536 MB, GDDR5, 384 bit","801 MHz","950 MHz","512 / 64 / 48","NVIDIA","Desktop"
"GeForce GTX 750 Ti OEM","GK106","Unreleased","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","1033 MHz","1502 MHz","960 / 80 / 32","NVIDIA","Desktop"
"GeForce GTX TITAN II","GM200","Unreleased","PCIe 3.0 x16","12288 MB, GDDR5, 384 bit","1100 MHz","1502 MHz","3072 / 192 / 96","NVIDIA","Desktop"
"Radeon R9 M270X","Saturn","Feb 2015","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","900 MHz","1375 MHz","768 / 48 / 16","AMD","Mobile"
"Radeon R9 M280X","Saturn","Feb 2015","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","900 MHz","1375 MHz","896 / 56 / 16","AMD","Mobile"
"Radeon R9 M295X","Amethyst","Nov 2014","MXM-B (3.0)","4096 MB, GDDR5, 256 bit","723 MHz","1250 MHz","2048 / 128 / 32","AMD","Mobile"
"Radeon R9 M295X Mac Edition","Amethyst","Nov 2014","MXM-B (3.0)","4096 MB, GDDR5, 256 bit","850 MHz","1362 MHz","2048 / 128 / 32","AMD","Mobile"
"Radeon R5 M255","Topaz","Oct 2014","PCIe 3.0 x8","1024 MB, GDDR5, 128 bit","925 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R5 M240","Jet","Sep 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1000 MHz","900 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8550M","Sun","Jul 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","650 MHz","900 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon R7 M260","Topaz","Jun 2014","PCIe 3.0 x8","1024 MB, GDDR5, 128 bit","900 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R5 M230 Rebrand","Sun","May 2014","PCIe 3.0 x8","4096 MB, DDR3, 64 bit","780 MHz","900 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon R7 M265","Topaz","May 2014","PCIe 3.0 x8","1024 MB, DDR3, 128 bit","900 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R9 M265X","Venus","Mar 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","575 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon R9 M270X","Venus","Mar 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","725 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon R9 M275","Venus","Jan 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","900 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon R9 M275X","Venus","Jan 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","900 MHz","1125 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon E8860","Venus","Jan 2014","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","575 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon HD 8530M","Mars","Jan 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","650 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R5 M240 Rebrand","Mars","Jan 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","650 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R7 A265","Opal","Jan 2014","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","725 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R7 M265","Opal","Jan 2014","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","725 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R7 M270","Opal","Jan 2014","PCIe 3.0 x8","2048 MB, DDR3, 128 bit","725 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon R9 M290X","Neptune","Jan 2014","PCIe 3.0 x16","4096 MB, GDDR5, 256 bit","850 MHz","1200 MHz","1280 / 80 / 32","AMD","Mobile"
"Radeon R5 M230","Jet","Jan 2014","PCIe 3.0 x8","4096 MB, DDR3, 64 bit","780 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon R5 M230","Jet","Jan 2014","PCIe 3.0 x8","4096 MB, DDR3, 64 bit","825 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"PlayStation 4 GPU","Liverpool","Nov 2013","IGP","8192 MB, GDDR5, 256 bit","800 MHz","1375 MHz","1152 / 72 / 32","AMD","Mobile"
"Xbox One GPU","Durango","Nov 2013","IGP","8192 MB, DDR3, 256 bit","853 MHz","1066 MHz","768 / 48 / 16","AMD","Mobile"
"Radeon HD 8970M","Neptune","May 2013","PCIe 3.0 x16","4096 MB, GDDR5, 256 bit","850 MHz","1200 MHz","1280 / 80 / 32","AMD","Mobile"
"Radeon HD 8730M","Mars","Apr 2013","PCIe 3.0 x8","1024 MB, DDR3, 128 bit","650 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 8770M","Mars","Apr 2013","PCIe 3.0 x8","2048 MB, GDDR5, 128 bit","775 MHz","1125 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 8790M","Mars","Apr 2013","PCIe 3.0 x8","2048 MB, GDDR5, 128 bit","850 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 8830M","Venus","Apr 2013","PCIe 3.0 x16","2048 MB, DDR3, 256 bit","575 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon HD 8850M","Venus","Apr 2013","PCIe 3.0 x16","2048 MB, DDR3, 128 bit","575 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon HD 8870M","Venus","Apr 2013","PCIe 3.0 x16","2048 MB, GDDR5, 256 bit","725 MHz","1125 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon HD 8570A","Sun","Mar 2013","MXM-A (3.0)","1024 MB, DDR3, 64 bit","750 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8570M","Sun","Mar 2013","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","750 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8590M","Sun","Mar 2013","PCIe 3.0 x8","1024 MB, GDDR5, 64 bit","750 MHz","1125 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8670M","Sun","Mar 2013","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","925 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8670M","Mars","Mar 2013","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 8690M","Sun","Mar 2013","PCIe 3.0 x8","1024 MB, GDDR5, 64 bit","775 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8750M","Mars","Feb 2013","PCIe 3.0 x8","1024 MB, GDDR5, 128 bit","620 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 8670A","Mars","Feb 2013","MXM-A (3.0)","1024 MB, DDR3, 64 bit","600 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 8670A","Sun","Feb 2013","MXM-A (3.0)","1024 MB, DDR3, 64 bit","600 MHz","1000 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon HD 8750A","Mars","Feb 2013","MXM-A (3.0)","1024 MB, DDR3, 64 bit","600 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"Radeon HD 7690M XT","Thames","Jan 2013","PCIe 2.0 x16","2048 MB, GDDR5, 128 bit","725 MHz","900 MHz","480 / 24 / 8","AMD","Mobile"
"Wii U GPU","Latte","Nov 2012","IGP","2048 MB, DDR3, 64 bit","550 MHz","800 MHz","320 / 16 / 8","AMD","Mobile"
"Radeon HD 7670M Rebrand","Whistler","Jul 2012","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","600 MHz","900 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 7730M","Chelsea","Apr 2012","PCIe 2.0 x16","2048 MB, DDR3, 128 bit","575 MHz","900 MHz","512 / 32 / 16","AMD","Mobile"
"Radeon HD 7750M","Chelsea","Apr 2012","PCIe 2.0 x16","2048 MB, GDDR5, 128 bit","575 MHz","1000 MHz","512 / 32 / 16","AMD","Mobile"
"Radeon HD 7770M","Chelsea","Apr 2012","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","675 MHz","1000 MHz","512 / 32 / 16","AMD","Mobile"
"Radeon HD 7850M","Heathrow","Apr 2012","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","675 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon HD 7870M","Heathrow","Apr 2012","PCIe 3.0 x16","2048 MB, GDDR5, 128 bit","800 MHz","1000 MHz","640 / 40 / 16","AMD","Mobile"
"Radeon HD 7970M","Wimbledon","Apr 2012","MXM-B (3.0)","2048 MB, GDDR5, 256 bit","850 MHz","1200 MHz","1280 / 80 / 32","AMD","Mobile"
"Radeon HD 7650M Rebrand","Whistler","Mar 2012","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","485 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7670M","Thames","Feb 2012","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","600 MHz","900 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 7330M","Robson","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","500 MHz","800 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 7350M","Robson","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","500 MHz","900 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 7370M","Robson","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","750 MHz","800 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 7430M","Seymour","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","600 MHz","900 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 7450M","Seymour","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","700 MHz","900 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 7470M","Seymour","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","750 MHz","900 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 7490M","Seymour","Jan 2012","PCIe 2.0 x16","1024 MB, GDDR5, 64 bit","800 MHz","950 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 7510M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","450 MHz","800 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 7530M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","450 MHz","900 MHz","400 / 24 / 8","AMD","Mobile"
"Radeon HD 7550M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","450 MHz","900 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 7550M","Thames","Jan 2012","PCIe 2.0 x16","2048 MB, GDDR3, 128 bit","500 MHz","900 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 7570M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, GDDR5, 64 bit","500 MHz","800 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 7590M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, GDDR5, 64 bit","600 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7610M","Whistler","Jan 2012","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","450 MHz","800 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 7630M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","450 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7650M","Thames","Jan 2012","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","450 MHz","800 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 7690M Rebrand","Whistler","Jan 2012","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","600 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7450A","Caicos","Jan 2012","MXM-A (3.0)","512 MB, GDDR3, 64 bit","625 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 7470A","Redwood","Jan 2012","MXM-A (3.0)","1024 MB, DDR3, 64 bit","775 MHz","800 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 7470A","Caicos","Jan 2012","MXM-A (3.0)","512 MB, GDDR3, 64 bit","625 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 7650A","Onega","Jan 2012","MXM-A (3.0)","1024 MB, DDR3, 128 bit","600 MHz","900 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7670A","Turks","Jan 2012","MXM-A (3.0)","1024 MB, GDDR5, 128 bit","600 MHz","1000 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7690M XT Rebrand","Whistler","Jan 2012","PCIe 2.0 x16","1024 MB, GDDR5, 128 bit","725 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 7690M","Thames","Dec 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","725 MHz","900 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 6970M Mac Edition","Blackcomb","Aug 2011","MXM-B (3.0)","2048 MB, GDDR5, 256 bit","680 MHz","900 MHz","960 / 48 / 32","AMD","Mobile"
"Radeon HD 6990M","Blackcomb","Jul 2011","MXM-B (3.0)","2048 MB, GDDR5, 256 bit","715 MHz","900 MHz","1120 / 56 / 32","AMD","Mobile"
"Radeon HD 6990M Rebrand","Broadway","Jul 2011","MXM-B (3.0)","1024 MB, GDDR5, 128 bit","800 MHz","1100 MHz","800 / 40 / 16","AMD","Mobile"
"Radeon E6760","Turks","May 2011","MXM-A (3.0)","1024 MB, GDDR5, 128 bit","600 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6490M Mac Edition","Seymour","May 2011","PCIe 2.0 x16","256 MB, GDDR5, 64 bit","750 MHz","794 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6570M","Whistler","Apr 2011","MXM-A (3.0)","1024 MB, GDDR3, 128 bit","600 MHz","800 MHz","480 / 24 / 16","AMD","Mobile"
"Radeon HD 6650A","Onega","Apr 2011","MXM-A (3.0)","1024 MB, DDR3, 128 bit","600 MHz","900 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6670A","Turks","Apr 2011","MXM-A (3.0)","1024 MB, GDDR5, 128 bit","600 MHz","1000 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6750M Mac Edition","Whistler","Apr 2011","MXM-A (3.0)","512 MB, GDDR5, 128 bit","598 MHz","794 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon E6460","Caicos","Apr 2011","PCIe 2.0 x16","512 MB, GDDR5, 64 bit","600 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6350A","Cedar","Apr 2011","MXM-A (3.0)","512 MB, DDR3, 64 bit","650 MHz","800 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 6450A","Caicos","Apr 2011","MXM-A (3.0)","512 MB, DDR3, 64 bit","625 MHz","533 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6550A","Turks","Feb 2011","MXM-A (3.0)","2048 MB, DDR3, 128 bit","650 MHz","900 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6770M Mac Edition","Whistler","Jan 2011","MXM-A (3.0)","512 MB, GDDR5, 128 bit","725 MHz","900 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6430M","Seymour","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","480 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6450M","Seymour","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","600 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6470M","Seymour","Jan 2011","PCIe 2.0 x16","512 MB, DDR3, 64 bit","700 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6490M","Seymour","Jan 2011","PCIe 2.0 x16","512 MB, GDDR5, 64 bit","800 MHz","800 MHz","160 / 8 / 4","AMD","Mobile"
"Radeon HD 6610M","Whistler","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","450 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6625M","Whistler","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","450 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6630M","Whistler","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","500 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6630M Mac Edition","Whistler","Jan 2011","PCIe 2.0 x16","256 MB, GDDR5, 64 bit","500 MHz","600 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6650M","Whistler","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","600 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6730M","Whistler","Jan 2011","MXM-A (3.0)","1024 MB, GDDR3, 128 bit","725 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6750M","Whistler","Jan 2011","MXM-A (3.0)","1024 MB, GDDR3, 128 bit","600 MHz","800 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6770M","Whistler","Jan 2011","MXM-A (3.0)","1024 MB, GDDR5, 128 bit","725 MHz","900 MHz","480 / 24 / 8","AMD","Mobile"
"Radeon HD 6830M","Granville","Jan 2011","PCIe 2.0 x16","1024 MB, DDR3, 128 bit","575 MHz","800 MHz","800 / 40 / 16","AMD","Mobile"
"Radeon HD 6850M","Granville","Jan 2011","PCIe 2.0 x16","1024 MB, GDDR3, 128 bit","675 MHz","800 MHz","800 / 40 / 16","AMD","Mobile"
"Radeon HD 6870M","Granville","Jan 2011","MXM-B (3.0)","1024 MB, GDDR5, 128 bit","675 MHz","1000 MHz","800 / 40 / 16","AMD","Mobile"
"Radeon HD 6950M","Blackcomb","Jan 2011","MXM-B (3.0)","1024 MB, GDDR5, 256 bit","580 MHz","900 MHz","960 / 48 / 32","AMD","Mobile"
"Radeon HD 6970M","Blackcomb","Jan 2011","MXM-B (3.0)","1024 MB, GDDR5, 256 bit","680 MHz","900 MHz","960 / 48 / 32","AMD","Mobile"
"Radeon HD 6970M Rebrand","Broadway","Jan 2011","MXM-B (3.0)","1024 MB, GDDR5, 128 bit","800 MHz","1000 MHz","800 / 40 / 16","AMD","Mobile"
"Radeon HD 6330M","Robson","Nov 2010","PCIe 2.0 x16","1024 MB, GDDR3, 64 bit","500 MHz","800 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 6350M","Robson","Nov 2010","PCIe 2.0 x16","1024 MB, GDDR3, 64 bit","500 MHz","800 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 6370M","Robson","Nov 2010","PCIe 2.0 x16","1024 MB, GDDR3, 64 bit","750 MHz","800 MHz","80 / 8 / 4","AMD","Mobile"
"Radeon HD 6530M","Capilano","Nov 2010","MXM-II","1024 MB, DDR3, 128 bit","500 MHz","900 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 6550M","Capilano","Nov 2010","MXM-II","1024 MB, DDR3, 128 bit","600 MHz","900 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 6570M","Capilano","Nov 2010","MXM-II","1024 MB, GDDR5, 128 bit","650 MHz","900 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 6570M Mac Edition","Capilano","Oct 2009","MXM-II","1024 MB, GDDR3, 128 bit","600 MHz","800 MHz","400 / 20 / 8","AMD","Mobile"
"Radeon HD 7950M","Wimbledon","Unreleased","MXM-B (3.0)","2048 MB, GDDR5, 256 bit","700 MHz","1000 MHz","1280 / 80 / 32","AMD","Mobile"
"Radeon R5 A240","Jet","Unreleased","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","650 MHz","900 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon R5 M250","Jet","Unreleased","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","650 MHz","900 MHz","320 / 20 / 8","AMD","Mobile"
"Radeon R7 M260","Opal","Unreleased","PCIe 3.0 x8","1024 MB, GDDR5, 128 bit","620 MHz","1000 MHz","384 / 24 / 8","AMD","Mobile"
"NVIDIA",NA,NA,NA,NA,NA,NA,NA,"AMD","Mobile"
"Product Name","GPU Chip","Released","Bus","Memory","GPU clock","Memory clock","Shaders / TMUs / ROPs","AMD","Mobile"
"GeForce 845M","GM107","Feb 2015","PCIe 3.0 x16","2048 MB, DDR3, 64 bit","863 MHz","1001 MHz","512 / 32 / 16","AMD","Mobile"
"GeForce GTX 860M OEM","GM107","Feb 2015","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","1020 MHz","1253 MHz","640 / 40 / 16","AMD","Mobile"
"GeForce GTX 965M","GM204","Jan 2015","MXM-B (3.0)","2048 MB, GDDR5, 128 bit","950 MHz","1253 MHz","1024 / 64 / 32","AMD","Mobile"
"GeForce GTX 970M","GM204","Oct 2014","MXM-B (3.0)","6144 MB, GDDR5, 192 bit","924 MHz","1253 MHz","1280 / 80 / 48","AMD","Mobile"
"GeForce GTX 980M","GM204","Oct 2014","MXM-B (3.0)","8192 MB, GDDR5, 256 bit","1038 MHz","1253 MHz","1536 / 96 / 64","AMD","Mobile"
"GeForce 810A","GK208","Jul 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","192 / 16 / 8","AMD","Mobile"
"GeForce 830A","GM108","Jul 2014","PCIe 3.0 x8","1024 MB, DDR3, 64 bit","1029 MHz","900 MHz","384 / 16 / 8","AMD","Mobile"
"GeForce 705A","GF119","Jul 2014","PCIe 2.0 x16","1024 MB, DDR3, 64 bit","775 MHz","900 MHz","48 / 8 / 4","AMD","Mobile"
