"Nazwa","GPU","Wydajność","Cena","Opłacalność","Chłodzenie","Dystrybutor","Producent","Marka","Pamięć512","Pamięć1","Pamięć1.5","Pamięć2"
"Palit NEAT6300HD46H","GeForce GT630","744.00","211.42","3.52","pasywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N630D3-1GI","GeForce GT630","744.00","225.00","3.31","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus GT630-SL-2GD3-L","GeForce GT630","744.00","259.00","2.87","pasywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"EVGA 01G-P3-2632-KR","GeForce GT630","744.00","267.40","2.78","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"ZOTAC ZT-60414-20L","GeForce GT630","744.00","324.09","2.30","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"HP B4J92AA","GeForce GT630","744.00","403.50","1.84","aktywne","HP","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Asus GT620-1GD3-L","GeForce GT620","434.00","246.67","1.76","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sparkle X520","GeForce GT520","363.00","163.95","2.21","aktywne","Sparkle","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-N610D3-1GI","GeForce GT610","354.00","155.00","2.28","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-N610-1GI","GeForce GT610","354.00","157.90","2.24","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-N610SL-1GI","GeForce GT610","354.00","162.82","2.17","pasywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI N610-1GD3H/LP","GeForce GT610","354.00","162.91","2.17","pasywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gainward 426018336-2654","GeForce GT610","354.00","168.00","2.11","pasywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gainward 426018336-2647","GeForce GT610","354.00","168.00","2.11","aktywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus GT610-1GD3-L","GeForce GT610","354.00","170.59","2.08","aktywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Palit NEAT6100HD06H","GeForce GT610","354.00","171.64","2.06","pasywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"ZOTAC ZT-60602-10L","GeForce GT610","354.00","177.00","2.00","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"EVGA 01G-P3-2616-KR","GeForce GT610","354.00","179.90","1.97","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus GT610-SL-1GD3-L","GeForce GT610","354.00","184.56","1.92","pasywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI N610GT-MD1GD3H","GeForce GT610","354.00","187.90","1.88","pasywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"EVGA 01G-P3-2615-KR","GeForce GT610","354.00","188.47","1.88","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-N610D3-2GI","GeForce GT610","354.00","189.45","1.87","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gainward 426018336-2630","GeForce GT610","354.00","192.00","1.84","aktywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Palit NEAT610LHD46F","GeForce GT610","354.00","195.33","1.81","aktywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI N610-2GD3H","GeForce GT610","354.00","199.20","1.78","pasywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"MSI N610GT-2GD3H/LP","GeForce GT610","354.00","200.36","1.77","pasywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-60603-20L","GeForce GT610","354.00","202.58","1.75","pasywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus GT610-SL-2GD3-L","GeForce GT610","354.00","205.77","1.72","pasywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-60601-10L","GeForce GT610","354.00","209.00","1.69","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"EVGA 02G-P3-2619-KR","GeForce GT610","354.00","213.96","1.65","aktywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Gigabyte GV-N610SL-2GL","GeForce GT610","354.00","228.98","1.55","pasywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"ZOTAC ZT-60604-10L","GeForce GT610","354.00","237.26","1.49","pasywne","ZOTAC","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"ZOTAC ZT-60605-10L","GeForce GT610","354.00","239.41","1.48","aktywne","ZOTAC","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"ZOTAC ZT-60606-10L","GeForce GT610","354.00","274.80","1.29","pasywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus EN9500GT OC/DI/512M","GeForce 9500GT","291.00","189.00","1.54","aktywne","Asus","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Palit NE39500TFHD21","GeForce 9500GT","291.00","281.61","1.03","aktywne","Palit","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"XFX HD-645X-ZNH2","Radeon HD6450","289.00","163.30","1.77","pasywne","XFX","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI R6450-MD1GD3H","Radeon HD6450","289.00","165.00","1.75","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI R6450-MD1GD3","Radeon HD6450","289.00","169.50","1.71","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Vertex 3D VX6450 1GBK3-HV4E","Radeon HD6450","289.00","171.20","1.69","pasywne","Vertex","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11190-02-10G","Radeon HD6450","289.00","174.13","1.66","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11190-02-20G","Radeon HD6450","289.00","184.00","1.57","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus HD6450-SL-2GD3-L","Radeon HD6450","289.00","189.00","1.53","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11190-13-10G","Radeon HD6450","289.00","193.60","1.49","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11190-13-20G","Radeon HD6450","289.00","197.97","1.46","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI R6450-2GD3H/LP","Radeon HD6450","289.00","205.00","1.41","aktywne","MSI","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11190-12-10G","Radeon HD6450","289.00","215.78","1.34","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11190-12-20G","Radeon HD6450","289.00","217.96","1.33","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11190-09-20G","Radeon HD6450","289.00","232.82","1.24","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11190-09-10G","Radeon HD6450","289.00","235.06","1.23","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11166-01-10R","Radeon HD5450","232.00","121.43","1.91","pasywne","Sapphire","AMD","Radeon",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-08-10R","Radeon HD5450","232.00","122.28","1.90","pasywne","Sapphire","AMD","Radeon",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-32-10G","Radeon HD5450","232.00","123.21","1.88","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-08-20R","Radeon HD5450","232.00","123.42","1.88","pasywne","Sapphire","AMD","Radeon",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Asus EAH5450-SL-HM1GD3-L-V2","Radeon HD5450","232.00","126.00","1.84","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus HD5450-SL-HM1GD3-L-V2","Radeon HD5450","232.00","127.00","1.83","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"XFX HD-545X-ZCH2","Radeon HD5450","232.00","130.28","1.78","aktywne","XFX","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-32-20G","Radeon HD5450","232.00","132.13","1.76","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-01-20R","Radeon HD5450","232.00","132.43","1.75","pasywne","Sapphire","AMD","Radeon",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-02-10R","Radeon HD5450","232.00","133.95","1.73","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-07-10R","Radeon HD5450","232.00","134.23","1.73","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI R5450-MD1GD3H/LP","Radeon HD5450","232.00","134.38","1.73","pasywne","MSI","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus EAH5450 SILENT/DI/1GD3","Radeon HD5450","232.00","139.52","1.66","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus EAH5450/DI/1GD3(LP)","Radeon HD5450","232.00","140.00","1.66","aktywne","Asus","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-63-10G","Radeon HD5450","232.00","145.63","1.59","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-R545-1GI","Radeon HD5450","232.00","147.46","1.57","aktywne","Gigabyte","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-07-20R","Radeon HD5450","232.00","148.84","1.56","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-63-20G","Radeon HD5450","232.00","149.52","1.55","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus 90-C1CP2U-L0UANAYZ","Radeon HD5450","232.00","154.83","1.50","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-02-20R","Radeon HD5450","232.00","155.76","1.49","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus HD5450-SL-1GD3-BRK","Radeon HD5450","232.00","156.03","1.49","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"XFX HD-545X-CLH2","Radeon HD5450","232.00","162.50","1.43","pasywne","XFX","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11166-51-10G","Radeon HD5450","232.00","178.99","1.30","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Sapphire 11166-45-10G","Radeon HD5450","232.00","180.50","1.29","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11166-51-20G","Radeon HD5450","232.00","195.26","1.19","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus HD5450-SL-2GD3-L","Radeon HD5450","232.00","207.91","1.12","pasywne","Asus","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"Sapphire 11166-45-20G","Radeon HD5450","232.00","231.16","1.00","pasywne","Sapphire","AMD","Radeon",">= 512MB",">= 1GB",">= 1.5GB",">= 2GB"
"HP QK638AA","Radeon HD6350","219.00","258.00","0.85","aktywne","HP","AMD","Radeon",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Palit NEAG2100HD53H","GeForce G210","185.00","119.83","1.54","pasywne","Palit","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Gainward 426018336-2081","GeForce G210","185.00","121.00","1.53","pasywne","Gainward","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"Gainward 426018336-1923","GeForce G210","185.00","122.00","1.52","pasywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI N210-TC1GD3H/LP","GeForce G210","185.00","125.06","1.48","pasywne","MSI","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"MSI N210-MD1GD3H","GeForce G210","185.00","128.16","1.44","pasywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Palit NEAG21000HD06H","GeForce G210","185.00","129.50","1.43","pasywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Palit NEAG2100HD06H","GeForce G210","185.00","129.92","1.42","pasywne","Palit","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"MSI N210-MD1G/D3","GeForce G210","185.00","131.96","1.40","aktywne","MSI","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gainward 426018336-1459","GeForce G210","185.00","133.00","1.39","aktywne","Gainward","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-N210SL-1GI","GeForce G210","185.00","135.00","1.37","pasywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"ZOTAC ZT-20313-10B","GeForce G210","185.00","135.00","1.37","pasywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"ZOTAC ZT-20313-10L","GeForce G210","185.00","135.01","1.37","pasywne","ZOTAC","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Gigabyte GV-N210D3-1GI","GeForce G210","185.00","139.90","1.32","aktywne","Gigabyte","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus EN210 SILENT/DI/1GD3/V2","GeForce G210","185.00","140.00","1.32","pasywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"Asus EN210 SILENT/DI/1GD3","GeForce G210","185.00","143.00","1.29","pasywne","Asus","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"EVGA 01G-P3-1313-KR","GeForce G210","185.00","157.38","1.18","pasywne","EVGA","NVIDIA","GeForce",">= 512MB",">= 1GB","< 1.5GB","< 1GB"
"EVGA 512-P3-1301-KR","GeForce 8400GS","115.00","129.90","0.89","pasywne","EVGA","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"EVGA 512-A8-N403-LX","GeForce 6200","44.00","189.90","0.23","pasywne","EVGA","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"EVGA 512-A8-N403-EL","GeForce 6200","44.00","191.97","0.23","pasywne","EVGA","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
"EVGA 512-A8-N405-EL","GeForce 6200","44.00","197.45","0.22","pasywne","EVGA","NVIDIA","GeForce",">= 512MB","< 1GB","< 1.5GB","< 1GB"
