"Procesor","Podstawka","Wydajność","Cena","Opłacalność","Producent","Seria","Liczba_Rdzeni","Rodz_Wydajności"
"Intel Core i7 4770T OEM","LGA 1150","2198",1379.66,1.59,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 3770K OEM","LGA 1155","2405",1535,1.57,"Intel","Core","4","jednordzeniowa"
"AMD X8 FX-8320","AM3+","1008",659.65,1.53,"AMD","X8","8","jednordzeniowa"
"Intel Core i5 3570T OEM","LGA 1155","1464",964.5,1.52,"Intel","Core","4","jednordzeniowa"
"AMD X8 FX-8350","AM3+","1124",757,1.48,"AMD","X8","8","jednordzeniowa"
"Intel Core i7 4900MQ OEM","G3","2288",1599,1.43,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4570T OEM","LGA 1150","1214",851.17,1.43,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4785T OEM","LGA 1150","1911",1360.31,1.4,"Intel","Core","4","jednordzeniowa"
"Intel Core i5 4570T","LGA 1150","1214",874.38,1.39,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4765T OEM","LGA 1150","1810",1355.7,1.34,"Intel","Core","4","jednordzeniowa"
"AMD X8 FX-8370","AM3+","1136",905,1.26,"AMD","X8","8","jednordzeniowa"
"AMD X8 FX-9370","AM3+","1199",961.86,1.25,"AMD","X8","8","jednordzeniowa"
"Intel Core i7 5820K","LGA 2011","2164",1751.64,1.24,"Intel","Core","6","jednordzeniowa"
"Intel Core i5 3470T OEM","LGA 1155","1143",943.01,1.21,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 5820K OEM","LGA 2011","2164",1841.12,1.18,"Intel","Core","6","jednordzeniowa"
"AMD X8 FX-9590","AM3+","1280",1300.46,0.98,"AMD","X8","8","jednordzeniowa"
"Intel Core i7 5930K OEM","LGA 2011","2271",2503.47,0.91,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 5930K","LGA 2011","2271",2614.46,0.87,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 3840QM","G2","2230",2573.08,0.87,"Intel","Core","4","jednordzeniowa"
"Intel Core i7 4930K","LGA 2011","2183",2594.95,0.84,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 4930K OEM","LGA 2011","2183",2620,0.83,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 3930K OEM","LGA 2011","2019",2653,0.76,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 4960X OEM","LGA 2011","2334",4483.46,0.52,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 4960X","LGA 2011","2334",4513,0.52,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 3970X","LGA 2011","2129",4598.3,0.46,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 3970X OEM","LGA 2011","2129",4646,0.46,"Intel","Core","6","jednordzeniowa"
"Intel Core i7 5960X OEM","LGA 2011","1999",4455.7,0.45,"Intel","Core","8","jednordzeniowa"
"Intel Core i7 5960X","LGA 2011","1999",4644,0.43,"Intel","Core","8","jednordzeniowa"
